id,which_concept,concept_id,term,level,score
W2044894183,10,C54355233,Genetics,1,0.3495152
W2044894183,11,C30481170,Chromosome,3,0.30025646
W2044894183,12,C71924100,Medicine,0,0.15243101
W2044894183,13,C2776694085,Chemotherapy,2,0.07172045
W2044894183,14,C190283241,Apoptosis,2,0
W2044894183,15,C86554907,PI3K/AKT/mTOR pathway,3,0
W2093117057,1,C2779160599,Meningioma,2,0.8574252
W2093117057,2,C2778987889,Dura mater,2,0.8208905
W2093117057,3,C142724271,Pathology,1,0.74791276
W2093117057,4,C153400128,Infiltration (HVAC),2,0.595852
W2093117057,5,C204232928,Immunohistochemistry,2,0.5256432
W2093117057,6,C2779265215,Pia mater,2,0.4883537
W2093117057,7,C71924100,Medicine,0,0.4861014
W2093117057,8,C105702510,Anatomy,1,0.28169593
W2093117057,9,C121332964,Physics,0,0
W2093117057,10,C97355855,Thermodynamics,1,0
W2076523873,1,C2778024855,Pleomorphic xanthoastrocytoma,4,0.9656166
W2076523873,2,C71924100,Medicine,0,0.6362721
W2076523873,3,C142724271,Pathology,1,0.5819466
W2076523873,4,C12770488,Neurosurgery,2,0.5368192
W2076523873,5,C2779651940,Cerebrospinal fluid,2,0.4802361
W2076523873,6,C2777318445,Midline shift,3,0.44746763
W2076523873,7,C2779130545,Brain tumor,2,0.44200817
W2076523873,8,C2778227246,Glioma,2,0.43875492
W2076523873,9,C2779662492,Hematoma,2,0.39018106
W2076523873,10,C141071460,Surgery,1,0.29396036
W2076523873,11,C2778880634,Astrocytoma,3,0.13445017
W2076523873,12,C502942594,Cancer research,1,0
W2039772570,1,C2781432949,Ependymoma,2,0.63978267
W2039772570,2,C71924100,Medicine,0,0.638198
W2039772570,3,C142724271,Pathology,1,0.6198478
W2039772570,4,C2780597408,Cyst,2,0.6122211
W2039772570,5,C2778134817,Hydrocephalus,2,0.46530372
W2039772570,6,C105702510,Anatomy,1,0.45274386
W2039772570,7,C2780813603,Subarachnoid space,3,0.4485263
W2039772570,8,C12770488,Neurosurgery,2,0.4449967
W2039772570,9,C142160229,Pleomorphism (cytology),3,0.4413558
W2039772570,10,C2778024855,Pleomorphic xanthoastrocytoma,4,0.43497407
W2039772570,11,C2780415424,Conus medullaris,3,0.42507213
W2039772570,12,C143409427,Magnetic resonance imaging,2,0.36139822
W2039772570,13,C2778227246,Glioma,2,0.21766636
W2039772570,14,C126838900,Radiology,1,0.19746122
W2039772570,15,C2778880634,Astrocytoma,3,0.18984446
W2039772570,16,C2779651940,Cerebrospinal fluid,2,0.1790896
W2039772570,17,C204232928,Immunohistochemistry,2,0.12873098
W2039772570,18,C502942594,Cancer research,1,0
W107344743,1,C2992656484,Lemon juice,3,0.85846686
W107344743,2,C180032290,Inoculation,2,0.70894337
W107344743,3,C2781065037,Salmonella,3,0.70544666
W107344743,4,C31903555,Food science,1,0.6802087
W107344743,5,C67031304,Preservative,2,0.547774
W107344743,6,C2778660310,Agar,3,0.53552663
W107344743,7,C86803240,Biology,0,0.3894413
W107344743,8,C185592680,Chemistry,0,0.3598491
W107344743,9,C523546767,Bacteria,2,0.23262122
W107344743,10,C144027150,Horticulture,1,0.1748932
W107344743,11,C2777108408,Sugar,2,0.09245664
W107344743,12,C54355233,Genetics,1,0
W2053633892,1,C71924100,Medicine,0,0.87150407
W2053633892,2,C2779300802,Skull,2,0.6792111
W2053633892,3,C2993294228,Thyroid carcinoma,3,0.6571816
W2053633892,4,C2778984943,Neurofibromatosis,2,0.6276045
W2053633892,5,C2778987889,Dura mater,2,0.55528593
W2053633892,6,C12770488,Neurosurgery,2,0.5364822
W2053633892,7,C2779013556,Metastasis,3,0.53138417
W2053633892,8,C126838900,Radiology,1,0.44030333
W2053633892,9,C143409427,Magnetic resonance imaging,2,0.42602566
W2053633892,10,C141071460,Surgery,1,0.36425048
W2053633892,11,C526584372,Thyroid,2,0.26880926
W2053633892,12,C121608353,Cancer,2,0.16678098
W2053633892,13,C126322002,Internal medicine,1,0.096350044
W2104750363,1,C71924100,Medicine,0,0.810241
W2104750363,2,C2777831278,Fibromyalgia,2,0.7548901
W2104750363,3,C2434490,Neurofeedback,3,0.70027405
W2104750363,4,C14184104,Visual analogue scale,2,0.65731806
W2104750363,5,C2994139218,Fibromyalgia syndrome,3,0.6112741
W2104750363,6,C558461103,Anxiety,2,0.55802244
W2104750363,7,C2779631380,Beck Depression Inventory,3,0.49738577
W2104750363,8,C2776867660,Depression (economics),2,0.43474767
W2104750363,9,C1862650,Physical therapy,1,0.38926357
W2104750363,10,C126322002,Internal medicine,1,0.3598851
W2104750363,11,C118552586,Psychiatry,1,0.23776981
W2104750363,12,C522805319,Electroencephalography,2,0.12115154
W2104750363,13,C162324750,Economics,0,0
W2104750363,14,C139719470,Macroeconomics,1,0
W1992504355,1,C142724271,Pathology,1,0.69814014
W1992504355,2,C2781432949,Ependymoma,2,0.6383834
W1992504355,3,C147447768,Vimentin,3,0.58489484
W1992504355,4,C2781156865,Lesion,2,0.57463115
W1992504355,5,C2777209535,Synaptophysin,3,0.5625553
W1992504355,6,C105702510,Anatomy,1,0.5426723
W1992504355,7,C2909073510,Ependymal Cell,3,0.51373255
W1992504355,8,C86803240,Biology,0,0.5061051
W1992504355,9,C2776663378,Ependyma,3,0.50537854
W1992504355,10,C2778681053,Glial tumor,3,0.4628941
W1992504355,11,C2779130545,Brain tumor,2,0.42891723
W1992504355,12,C207886595,Pathological,2,0.41729444
W1992504355,13,C12770488,Neurosurgery,2,0.41287157
W1992504355,14,C2779486818,Cerebral hemisphere,2,0.41273126
W1992504355,15,C71924100,Medicine,0,0.34553605
W1992504355,16,C529278444,Central nervous system,2,0.25774646
W1992504355,17,C204232928,Immunohistochemistry,2,0.20480248
W1992504355,18,C126838900,Radiology,1,0.188274
W1992504355,19,C169760540,Neuroscience,1,0.17794222
W1992504355,20,C2778227246,Glioma,2,0.17177084
W1992504355,21,C502942594,Cancer research,1,0
W2017202573,1,C147447768,Vimentin,3,0.7621403
W2017202573,2,C142724271,Pathology,1,0.73553276
W2017202573,3,C2777722931,Pilocytic astrocytoma,4,0.5964999
W2017202573,4,C71924100,Medicine,0,0.5880635
W2017202573,5,C2781289014,Nuclear atypia,3,0.57434535
W2017202573,6,C2780495277,Glial fibrillary acidic protein,3,0.55597985
W2017202573,7,C2778984943,Neurofibromatosis,2,0.51074886
W2017202573,8,C118441373,Epithelioid cell,3,0.48705176
W2017202573,9,C2776085573,Proliferative index,3,0.4587948
W2017202573,10,C2778880634,Astrocytoma,3,0.38718516
W2017202573,11,C2778227246,Glioma,2,0.33157825
W2017202573,12,C204232928,Immunohistochemistry,2,0.26479965
W2017202573,13,C502942594,Cancer research,1,0.115367025
W2136453705,1,C2779085617,Cordyceps,2,0.89212483
W2136453705,2,C2779678110,Fungus,2,0.58356124
W2136453705,3,C191935318,China,2,0.49095944
W2136453705,4,C86803240,Biology,0,0.48332596
W2136453705,5,C556039675,Traditional medicine,1,0.33903646
W2136453705,6,C59822182,Botany,1,0.25830352
W2136453705,7,C205649164,Geography,0,0.25466192
W2136453705,8,C166957645,Archaeology,1,0.08380622
W2136453705,9,C71924100,Medicine,0,0.07394916
W2063872839,1,C2778227246,Glioma,2,0.73143435
W2063872839,2,C71924100,Medicine,0,0.6744627
W2063872839,3,C142724271,Pathology,1,0.61462784
W2063872839,4,C2780886150,Edema,2,0.47087014
W2063872839,5,C2989005,Nuclear medicine,1,0.32312268
W2063872839,6,C502942594,Cancer research,1,0.2659477
W2063872839,7,C126322002,Internal medicine,1,0.14910436
W2031581012,1,C87863119,Subculture (biology),2,0.92288905
W2031581012,2,C100817775,Polysaccharide,2,0.8492354
W2031581012,3,C2776219560,Dendrobium,2,0.59584534
W2031581012,4,C84623179,RAPD,4,0.5298678
W2031581012,5,C86803240,Biology,0,0.48788738
W2031581012,6,C144027150,Horticulture,1,0.47337216
W2031581012,7,C161369605,Gram,3,0.44332457
W2031581012,8,C59822182,Botany,1,0.44203097
W2031581012,9,C31903555,Food science,1,0.43648928
W2031581012,10,C90703135,Tissue culture,3,0.4229957
W2031581012,11,C89423630,Microbiology,1,0.35422865
W2031581012,12,C185592680,Chemistry,0,0.33646646
W2031581012,13,C55493867,Biochemistry,1,0.21610633
W2031581012,14,C523546767,Bacteria,2,0.18649086
W2031581012,15,C81977670,Genetic diversity,3,0.08671975
W2031581012,16,C71924100,Medicine,0,0.07413876
W2031581012,17,C2908647359,Population,2,0
W2031581012,18,C99454951,Environmental health,1,0
W2031581012,19,C202751555,In vitro,2,0
W2031581012,20,C54355233,Genetics,1,0
W2153443984,1,C71924100,Medicine,0,0.8741934
W2153443984,2,C2781074409,Rectum,2,0.4994414
W2153443984,3,C142724271,Pathology,1,0.45539775
W2153443984,4,C526805850,Colorectal cancer,3,0.44701755
W2153443984,5,C2777546739,Carcinoma,2,0.4356307
W2153443984,6,C126838900,Radiology,1,0.4331601
W2153443984,7,C121608353,Cancer,2,0.39090037
W2153443984,8,C2989005,Nuclear medicine,1,0.37822515
W2153443984,9,C126322002,Internal medicine,1,0.25571942
W1995853970,1,C11268172,Micelle,3,0.85370183
W1995853970,2,C185592680,Chemistry,0,0.79664266
W1995853970,3,C59593255,Molecular dynamics,2,0.64904916
W1995853970,4,C525727330,Dysprosium,2,0.50403255
W1995853970,5,C2778913249,Sodium dodecyl sulfate,2,0.4914564
W1995853970,6,C8010536,Crystallography,1,0.45475662
W1995853970,7,C103319777,Proton NMR,2,0.41107023
W1995853970,8,C71240020,Stereochemistry,1,0.3676001
W1995853970,9,C184651966,Aqueous solution,2,0.35208517
W1995853970,10,C147597530,Computational chemistry,1,0.20326021
W1995853970,11,C179104552,Inorganic chemistry,1,0.18084452
W1995853970,12,C178790620,Organic chemistry,1,0.15223905
W2072818831,1,C11432220,Dispersity,2,0.93551946
W2072818831,2,C168589914,Ferrofluid,3,0.8659637
W2072818831,3,C170751736,Tetragonal crystal system,3,0.6835701
W2072818831,4,C59789625,Colloid,2,0.6125098
W2072818831,5,C192562407,Materials science,0,0.57920724
W2072818831,6,C159467904,Chemical physics,1,0.56690264
W2072818831,7,C207467116,Inverse,2,0.47297895
W2072818831,8,C187530423,Particle size,2,0.46670127
W2072818831,9,C171250308,Nanotechnology,1,0.42046598
W2072818831,10,C185592680,Chemistry,0,0.2327179
W2072818831,11,C121332964,Physics,0,0.22591287
W2072818831,12,C115260700,Magnetic field,2,0.20580202
W2072818831,13,C8010536,Crystallography,1,0.1704824
W2072818831,14,C115624301,Crystal structure,2,0.16328901
W2072818831,15,C147789679,Physical chemistry,1,0.16085732
W2072818831,16,C33923547,Mathematics,0,0.12833256
W2072818831,17,C188027245,Polymer chemistry,1,0.12176177
W2072818831,18,C2524010,Geometry,1,0
W2072818831,19,C62520636,Quantum mechanics,1,0
W2152437034,1,C199539241,Law,1,0.49655467
W2152437034,2,C17744445,Political science,0,0.4876372
W2152437034,3,C144024400,Sociology,0,0.35355854
W1969449438,1,C79879829,Intracellular,2,0.5706725
W1969449438,2,C81439078,In situ hybridization,4,0.55798805
W1969449438,3,C49039625,Secretion,2,0.5013411
W1969449438,4,C86803240,Biology,0,0.50049496
W1969449438,5,C95444343,Cell biology,1,0.49905086
W1969449438,6,C204232928,Immunohistochemistry,2,0.47728005
W1969449438,7,C2777658017,Pituitary gland,3,0.46568173
W1969449438,8,C105580179,Messenger RNA,3,0.43655565
W1969449438,9,C2779029589,Anterior pituitary,3,0.42566818
W1969449438,10,C71315377,Hormone,2,0.358343
W1969449438,11,C126322002,Internal medicine,1,0.3492167
W1969449438,12,C134018914,Endocrinology,1,0.2773143
W1969449438,13,C55493867,Biochemistry,1,0.14830309
W1969449438,14,C71924100,Medicine,0,0.090411425
W1969449438,15,C203014093,Immunology,1,0.08219376
W1969449438,16,C104317684,Gene,2,0.0736458
W1965155574,1,C71924100,Medicine,0,0.8649116
W1965155574,2,C2776694085,Chemotherapy,2,0.6728995
W1965155574,3,C2778119113,Etoposide,3,0.6389651
W1965155574,4,C2777506904,Ifosfamide,4,0.5284355
W1965155574,5,C142160229,Pleomorphism (cytology),3,0.50642
W1965155574,6,C77076574,Giant cell,2,0.49693683
W1965155574,7,C2778256501,Sarcoma,2,0.4834043
W1965155574,8,C509974204,Radiation therapy,2,0.4795344
W1965155574,9,C142724271,Pathology,1,0.47261336
W1965155574,10,C2781283455,Atypia,2,0.45416245
W1965155574,11,C141071460,Surgery,1,0.36851555
W1965155574,12,C204232928,Immunohistochemistry,2,0
W2036760738,1,C3020256055,Petrous bone,2,0.86193264
W2036760738,2,C71924100,Medicine,0,0.8271071
W2036760738,3,C2776302905,Chondrosarcoma,2,0.6907241
W2036760738,4,C12770488,Neurosurgery,2,0.62926394
W2036760738,5,C2777939775,Temporal bone,2,0.45932648
W2036760738,6,C105702510,Anatomy,1,0.45673892
W2036760738,7,C142724271,Pathology,1,0.31547168
W2036760738,8,C141071460,Surgery,1,0.23328969
W2079594975,1,C180754005,Allele,3,0.64341724
